Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-searchparameters,2,0,0
Cross.list-byid-searchparameters-json,2,1,0
Cross.list-byid-searchparameters-xml,2,2,0
Cross.list-byid-servicerequests,2,0,0
Cross.list-byid-servicerequests-json,2,0,0
Cross.list-byid-servicerequests-xml,2,1,0
Cross.list-byid-slots,2,0,0
Cross.list-byid-slots-json,2,0,0
Cross.list-byid-slots-xml,2,1,0
Cross.list-byid-specimen,2,0,0
Cross.list-byid-specimen-json,2,2,0
Cross.list-byid-specimen-xml,2,2,0
Cross.list-byid-specimendefinitions,2,0,0
Cross.list-byid-specimendefinitions-json,2,0,0
Cross.list-byid-specimendefinitions-xml,2,1,0
Cross.list-byid-structuredefinitions,2,21,141998
Cross.list-byid-structuredefinitions-json,2,25,143988
Cross.list-byid-structuredefinitions-xml,2,28,143590
Cross.list-byid-structuremaps,2,0,0
Cross.list-byid-structuremaps-json,2,0,0
Cross.list-byid-structuremaps-xml,2,2,0
Cross.list-byid-subscriptions,2,0,0
Cross.list-byid-subscriptions-json,2,2,0
Cross.list-byid-subscriptions-xml,2,2,0
Cross.list-byid-subscriptionstatuses,2,0,0
Cross.list-byid-subscriptionstatuses-json,2,2,0
Cross.list-byid-subscriptionstatuses-xml,2,2,0
Cross.list-byid-subscriptiontopics,2,0,0
Cross.list-byid-subscriptiontopics-json,2,1,0
Cross.list-byid-subscriptiontopics-xml,2,2,0
Cross.list-byid-substancedefinitions,2,0,0
Cross.list-byid-substancedefinitions-json,2,0,0
Cross.list-byid-substancedefinitions-xml,2,2,0
Cross.list-byid-substancenucleicacids,2,0,0
Cross.list-byid-substancenucleicacids-json,2,0,0
Cross.list-byid-substancenucleicacids-xml,2,2,0
Cross.list-byid-substancepolymers,2,0,0
Cross.list-byid-substancepolymers-json,2,0,0
Cross.list-byid-substancepolymers-xml,2,0,0
Cross.list-byid-substanceproteins,2,0,0
Cross.list-byid-substanceproteins-json,2,0,0
Cross.list-byid-substanceproteins-xml,2,2,0
Cross.list-byid-substancereferenceinformations,2,1,0
Cross.list-byid-substancereferenceinformations-json,2,2,0
Cross.list-byid-substancereferenceinformations-xml,2,2,0
Cross.list-byid-substances,2,0,0
Cross.list-byid-substances-json,2,0,0
Cross.list-byid-substances-xml,2,1,0
Cross.list-byid-substancesourcematerials,2,0,0
Cross.list-byid-substancesourcematerials-json,2,2,0
Cross.list-byid-substancesourcematerials-xml,2,2,0
Cross.list-byid-supplydeliveries,2,0,0
Cross.list-byid-supplydeliveries-json,2,0,0
Cross.list-byid-supplydeliveries-xml,2,0,0
Cross.list-byid-supplyrequests,2,0,0
Cross.list-byid-supplyrequests-json,2,1,0
